epoch,train_loss,train_acc,test_loss,test_acc
1,1.9911173669052125,0.27896,1.6828551885604859,0.3994
2,1.6908308898162843,0.38222,1.6040934282302857,0.4364
3,1.6209180907440186,0.41298,1.4993294555664063,0.459
4,1.591390087928772,0.42586,1.5083149290084839,0.4616
5,1.5589105658340454,0.43662,1.428050018119812,0.4809
6,1.540269641456604,0.44422,1.4299810447692871,0.4858
7,1.5332854122543336,0.44906,1.3867164831161498,0.5119
8,1.5187089794921875,0.4558,1.3682811828613282,0.5136
9,1.5207957489013673,0.45552,1.4490770374298096,0.4736
10,1.504308384437561,0.4596,1.3697486953735352,0.5123
